Unnamed: 0,Order,PID,MS SubClass,MS Zoning,Lot Area,Street,Lot Shape,Land Contour,Utilities,Lot Config,Land Slope,Neighborhood,Condition 1,Condition 2,Bldg Type,House Style,Overall Qual,Overall Cond,Year Built,Year Remod/Add,Roof Style,Roof Matl,Exterior 1st,Exterior 2nd,Exter Qual,Exter Cond,Foundation,Heating,Heating QC,Central Air,1st Flr SF,2nd Flr SF,Low Qual Fin SF,Gr Liv Area,Full Bath,Half Bath,Bedroom AbvGr,Kitchen AbvGr,Kitchen Qual,TotRms AbvGrd,Functional,Fireplaces,Paved Drive,Wood Deck SF,Open Porch SF,Enclosed Porch,3Ssn Porch,Screen Porch,Pool Area,Misc Val,Mo Sold,Yr Sold,Sale Type,Sale Condition,SalePrice
689,690,535476240,20,RL,7936,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,6,1963,1963,Hip,CompShg,HdBoard,HdBoard,TA,TA,CBlock,GasA,TA,Y,1045,0,0,1045,1,0,3,1,TA,6,Typ,1,Y,0,0,0,0,0,0,0,4,2009,WD ,Normal,127000
690,691,535477150,20,RL,6600,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,PosN,Norm,1Fam,1Story,5,5,1962,1962,Hip,CompShg,MetalSd,MetalSd,TA,TA,CBlock,GasA,Gd,N,894,0,0,894,1,0,2,1,TA,5,Typ,0,Y,0,0,0,0,0,0,0,8,2009,WD ,Normal,109500
691,692,902101010,50,RM,3950,Pave,Reg,Bnk,AllPub,Inside,Gtl,OldTown,Artery,Norm,1Fam,1.5Fin,6,8,1926,2004,Gable,CompShg,MetalSd,MetalSd,TA,TA,CBlock,GasA,TA,Y,818,406,0,1224,1,0,3,1,TA,5,Typ,0,N,0,0,116,0,0,0,0,12,2009,WD ,Normal,115000
692,693,902102080,50,RM,10440,Pave,Reg,Lvl,AllPub,Corner,Gtl,OldTown,Norm,Norm,1Fam,2Story,5,6,1910,1981,Gable,CompShg,Wd Sdng,Wd Sdng,TA,TA,PConc,GasA,Gd,Y,682,548,0,1230,1,1,2,1,TA,5,Typ,0,Y,74,0,128,0,0,0,0,5,2009,WD ,Normal,110000
693,694,902103100,50,RM,4080,Pave,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,1.5Fin,6,8,1935,1998,Gable,CompShg,Wd Sdng,Wd Sdng,TA,TA,PConc,GasA,Gd,Y,861,517,0,1378,1,0,3,1,Gd,6,Typ,0,P,54,0,40,0,0,0,0,6,2009,WD ,Normal,128900
694,695,902103120,90,RM,10307,Pave,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,Duplex,2Story,6,5,1910,1950,Gable,CompShg,Wd Sdng,Wd Sdng,TA,TA,CBlock,GasA,Gd,N,972,972,0,1944,2,0,4,2,TA,12,Typ,0,N,0,28,169,0,0,0,0,6,2009,WD ,Normal,103500
695,696,902103170,50,RM,5720,Pave,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Artery,Norm,1Fam,1.5Fin,5,6,1941,1950,Gable,CompShg,Wd Sdng,Wd Sdng,TA,TA,CBlock,GasA,Ex,Y,676,455,0,1131,1,1,3,1,TA,5,Typ,0,Y,26,0,0,0,0,0,0,8,2009,WD ,Abnorml,66500
696,697,902105050,50,RM,15660,Pave,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,1.5Fin,5,8,1910,2003,Gable,CompShg,VinylSd,VinylSd,TA,Gd,CBlock,GasA,TA,Y,810,496,0,1306,1,1,3,1,Gd,6,Typ,0,N,0,0,0,0,0,0,0,7,2009,WD ,Normal,130000
697,698,902105060,70,RM,9900,Pave,Reg,Lvl,AllPub,Corner,Gtl,OldTown,Norm,Norm,1Fam,2Story,5,8,1910,2002,Gable,CompShg,VinylSd,VinylSd,Gd,TA,CBlock,GasA,Ex,Y,764,700,0,1464,2,0,3,1,TA,7,Typ,0,N,0,0,176,0,0,0,0,3,2009,WD ,Normal,129000
698,699,902106010,70,RM,6406,Pave,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,2Story,5,6,1939,1950,Gable,CompShg,Wd Sdng,Wd Sdng,TA,TA,BrkTil,GasA,TA,Y,868,690,0,1558,1,1,3,1,TA,7,Typ,1,Y,0,36,0,0,182,0,0,10,2009,WD ,Normal,150000
699,700,902106060,70,RM,6600,Pave,Reg,Lvl,AllPub,Corner,Gtl,OldTown,Norm,Norm,1Fam,2Story,5,4,1892,1965,Gable,CompShg,Wd Sdng,Wd Sdng,TA,TA,Stone,GasA,TA,N,1378,994,0,2372,2,0,4,2,TA,11,Min2,0,Y,0,287,0,0,0,0,0,12,2009,WD ,Normal,107500
700,701,902109130,190,RM,7627,Pave,Reg,Lvl,AllPub,Corner,Gtl,OldTown,Artery,Norm,2fmCon,2Story,4,6,1920,1950,Gable,CompShg,AsbShng,AsbShng,Fa,TA,BrkTil,GasA,Gd,N,1101,600,0,1701,2,0,4,2,Fa,8,Typ,0,N,0,0,148,0,0,0,0,10,2009,WD ,Normal,94550
701,702,902109140,90,RM,7596,Pave,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Artery,Norm,Duplex,2Story,5,5,1952,1952,Hip,CompShg,Wd Sdng,Wd Sdng,TA,TA,CBlock,GasA,Gd,Y,960,1000,0,1960,2,0,4,2,TA,10,Typ,0,N,0,0,0,0,0,0,0,7,2009,COD,Normal,124500
702,703,902110080,60,RM,3378,Pave,Reg,HLS,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,2Story,7,8,1946,1992,Gable,CompShg,HdBoard,HdBoard,TA,Gd,CBlock,GasA,Gd,Y,707,682,0,1389,1,1,3,1,TA,6,Typ,2,P,0,0,126,0,0,0,0,9,2009,WD ,Normal,135000
703,704,902134120,50,RM,10134,Pave,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,1.5Fin,5,5,1910,1950,Gable,CompShg,MetalSd,MetalSd,TA,TA,BrkTil,GasA,Gd,N,801,646,0,1447,1,0,3,1,TA,6,Typ,0,N,80,0,244,0,0,0,0,7,2009,WD ,Normal,103000
704,705,902135020,20,RM,6000,Pave,Reg,Bnk,AllPub,Inside,Mod,OldTown,Norm,Norm,2fmCon,1Story,4,4,1953,1953,Gable,CompShg,MetalSd,MetalSd,Fa,TA,CBlock,GasA,TA,N,936,0,0,936,1,0,2,1,TA,4,Min2,0,Y,0,32,112,0,0,0,0,2,2009,WD ,Normal,93000
705,706,902201110,50,RM,6000,Pave,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,1.5Fin,5,7,1950,1970,Gable,CompShg,Wd Sdng,Wd Sdng,TA,Ex,CBlock,GasA,TA,Y,768,560,0,1328,1,1,3,1,TA,6,Typ,0,Y,0,12,0,0,0,0,0,3,2009,WD ,Normal,129500
706,707,902202150,190,RM,6000,Pave,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,2fmCon,1.5Fin,5,4,1954,1954,Gable,CompShg,Wd Sdng,Wd Sdng,TA,TA,CBlock,GasA,TA,Y,811,576,0,1387,2,0,3,2,Gd,7,Typ,0,Y,0,0,0,0,0,0,0,11,2009,WD ,Normal,93000
707,708,902204080,30,RM,7404,Pave,Reg,Lvl,AllPub,Corner,Gtl,OldTown,Norm,Norm,1Fam,1Story,4,6,1920,1950,Gable,CompShg,MetalSd,MetalSd,TA,TA,BrkTil,GasA,TA,Y,861,0,0,861,1,0,2,1,TA,5,Typ,0,N,0,0,128,0,0,0,0,11,2009,Oth,Normal,80000
708,709,902205010,30,RM,5925,Pave,Reg,Lvl,AllPub,Corner,Gtl,OldTown,Norm,Norm,1Fam,1Story,2,4,1940,1950,Gable,CompShg,MetalSd,MetalSd,TA,Gd,BrkTil,GasA,Fa,N,612,0,0,612,1,0,1,1,TA,4,Typ,0,N,0,0,25,0,0,0,0,10,2009,WD ,Normal,45000
709,710,902205030,50,RM,5925,Pave,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,1.5Fin,3,6,1910,1950,Gable,CompShg,VinylSd,VinylSd,TA,TA,BrkTil,Grav,Fa,N,600,368,0,968,1,0,2,1,TA,6,Typ,0,Y,0,0,0,0,0,0,0,5,2009,WD ,Abnorml,37900
710,711,902206260,30,RM,5784,Pave,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Artery,Norm,1Fam,1Story,5,8,1938,1996,Gable,CompShg,MetalSd,MetalSd,TA,TA,BrkTil,GasA,Gd,Y,886,0,0,886,1,0,2,1,TA,4,Typ,0,Y,144,20,80,0,0,0,0,12,2009,WD ,Normal,91300
711,712,902207170,30,RM,8520,Pave,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,1Story,5,8,1923,1950,Gable,CompShg,Stucco,Stucco,Gd,TA,PConc,GasA,TA,Y,792,0,0,792,1,0,2,1,TA,5,Typ,0,Y,0,0,81,0,0,0,0,2,2009,WD ,Normal,99500
712,713,902300090,190,RM,4456,Pave,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,2fmCon,2Story,4,5,1920,2008,Gable,CompShg,MetalSd,MetalSd,TA,TA,BrkTil,GasA,Gd,Y,736,716,0,1452,2,0,2,3,TA,8,Typ,0,N,0,0,102,0,0,0,0,6,2009,New,Partial,113000
713,714,902301060,70,RM,9600,Pave,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,2Story,4,4,1910,1950,Gable,CompShg,VinylSd,VinylSd,Gd,Gd,BrkTil,GasA,TA,Y,833,677,0,1510,2,0,3,1,Gd,7,Typ,0,N,0,0,160,0,0,0,0,6,2009,WD ,Normal,87500
714,715,902301080,50,RM,3500,Pave,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,1.5Fin,5,7,1947,1950,Gable,CompShg,AsbShng,AsbShng,TA,TA,CBlock,GasA,TA,Y,720,564,0,1284,1,1,2,1,TA,5,Typ,0,Y,0,35,0,0,0,0,0,4,2009,WD ,Normal,110000
715,716,902325070,75,RM,8100,Pave,Reg,Lvl,AllPub,Corner,Gtl,OldTown,Norm,Norm,1Fam,2.5Unf,5,5,1898,1965,Hip,CompShg,AsbShng,AsbShng,TA,TA,PConc,GasA,TA,N,1075,1063,0,2138,2,0,2,3,TA,11,Typ,0,N,40,156,0,0,0,0,0,11,2009,WD ,Normal,106000
716,717,902326030,70,RM,11700,Pave,IR1,Lvl,AllPub,Corner,Gtl,OldTown,Norm,Norm,1Fam,2Story,7,7,1880,2003,Mansard,CompShg,Stucco,Stucco,Gd,TA,Stone,GasW,TA,N,1320,1320,0,2640,1,1,4,1,Gd,8,Typ,1,N,181,0,386,0,0,0,0,5,2009,WD ,Normal,265979
717,718,902327070,70,RM,8400,Pave,Reg,Lvl,AllPub,Corner,Gtl,OldTown,Artery,Norm,1Fam,2Story,6,7,1900,1950,Gable,CompShg,Stucco,BrkFace,TA,TA,BrkTil,GasA,Gd,Y,1090,917,0,2007,2,0,3,1,Ex,8,Typ,0,Y,0,235,0,0,0,0,0,6,2009,WD ,Normal,160000
718,719,902329080,70,RM,3600,Pave,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,2Story,6,7,1917,2007,Gable,CompShg,Stucco,Stucco,TA,TA,BrkTil,GasA,Ex,Y,664,624,0,1288,1,0,3,1,Ex,5,Typ,1,N,0,103,0,0,0,0,0,5,2009,WD ,Normal,119000
719,720,902330040,70,RM,17671,Pave,Reg,Lvl,AllPub,Corner,Gtl,OldTown,Artery,Norm,1Fam,2Story,8,9,1882,1986,Gable,CompShg,Wd Sdng,Wd Sdng,Gd,Gd,BrkTil,GasA,Gd,Y,916,826,0,1742,1,1,4,1,Gd,8,Typ,1,P,0,169,0,0,0,0,0,11,2009,WD ,Normal,168000
720,721,902331010,30,C (all),3300,Pave,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,1Story,4,3,1910,1950,Gable,CompShg,Stucco,Stucco,TA,TA,BrkTil,GasA,Ex,Y,816,0,0,816,1,0,2,1,TA,5,Typ,1,N,0,33,0,0,0,0,0,6,2009,WD ,Normal,58500
721,722,902401130,70,RM,9000,Pave,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Artery,Norm,1Fam,2Story,7,9,1920,1988,Hip,CompShg,VinylSd,VinylSd,TA,Gd,PConc,GasA,Ex,Y,832,650,0,1482,1,0,3,1,TA,7,Typ,0,Y,0,0,0,0,0,0,0,7,2009,WD ,Normal,143000
722,723,902402150,30,RM,7200,Pave,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,1Story,5,4,1910,2006,Hip,CompShg,MetalSd,Stucco,TA,TA,BrkTil,GasW,TA,N,1022,0,0,1022,1,0,2,1,TA,4,Maj2,0,Y,0,30,226,0,0,0,0,6,2009,WD ,Normal,85000
723,724,902405100,50,RM,8820,Pave,Reg,Lvl,AllPub,Corner,Gtl,OldTown,Norm,Norm,1Fam,1.5Fin,5,6,1890,1996,Hip,CompShg,VinylSd,VinylSd,TA,TA,BrkTil,GasA,TA,Y,1188,561,120,1869,1,0,2,1,TA,7,Typ,0,Y,48,0,244,0,0,0,0,9,2009,WD ,Normal,124900
724,725,902405120,50,RM,5400,Pave,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,1.5Fin,6,6,1920,1950,Gable,CompShg,MetalSd,MetalSd,Fa,TA,BrkTil,GasA,Ex,Y,1044,0,436,1480,1,0,3,1,TA,6,Typ,0,Y,0,0,176,0,0,0,0,9,2009,ConLI,Family,119000
725,726,902406070,70,RM,9720,Pave,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,2Story,6,7,1910,2002,Gable,CompShg,MetalSd,MetalSd,TA,TA,PConc,GasA,Ex,Y,780,741,0,1521,1,0,4,1,Gd,8,Typ,0,Y,0,0,238,0,0,0,0,9,2009,WD ,Normal,146500
726,727,902477120,30,C (all),7879,Pave,Reg,Lvl,AllPub,Inside,Gtl,IDOTRR,Norm,Norm,1Fam,1Story,4,5,1920,1950,Gable,CompShg,Wd Sdng,Wd Sdng,TA,TA,CBlock,GasA,TA,N,720,0,0,720,1,0,2,1,TA,4,Typ,0,N,0,523,115,0,0,0,0,11,2009,WD ,Abnorml,34900
727,728,902477130,30,C (all),9392,Pave,Reg,Lvl,AllPub,Corner,Gtl,IDOTRR,Norm,Norm,1Fam,1Story,3,3,1900,1950,Mansard,CompShg,AsbShng,AsbShng,TA,Fa,CBlock,GasA,TA,N,797,0,0,797,1,0,2,1,TA,5,Typ,0,N,0,36,94,0,0,0,0,9,2009,WD ,Abnorml,44000
728,729,903200080,70,RL,21384,Pave,Reg,Lvl,AllPub,Inside,Gtl,BrkSide,Norm,Norm,1Fam,2Story,5,6,1923,2004,Gable,CompShg,Wd Sdng,Wd Sdng,TA,TA,CBlock,GasA,Ex,Y,1072,504,0,1576,1,1,3,1,Gd,6,Typ,1,Y,0,312,0,0,0,0,0,5,2009,WD ,Normal,223500
729,730,903201020,30,RL,6615,Pave,Reg,Lvl,AllPub,Inside,Gtl,BrkSide,Norm,Norm,1Fam,1Story,6,6,1923,1950,Gable,CompShg,MetalSd,MetalSd,TA,TA,BrkTil,GasA,TA,N,1432,0,0,1432,1,0,3,1,Gd,6,Typ,1,Y,266,61,0,0,0,0,0,9,2009,WD ,Normal,149000
730,731,903201080,50,RL,7264,Pave,Reg,Lvl,AllPub,Inside,Gtl,BrkSide,Norm,Norm,1Fam,1.5Fin,7,7,1925,2007,Gable,CompShg,Wd Sdng,Wd Sdng,Gd,Gd,BrkTil,GasW,Gd,N,952,596,0,1548,2,1,3,1,Ex,5,Typ,0,Y,74,0,0,0,144,0,0,10,2009,WD ,Normal,205000
731,732,903202170,70,RL,4960,Pave,Reg,Lvl,AllPub,Inside,Gtl,BrkSide,RRAn,Norm,1Fam,1.5Fin,5,7,1930,1982,Gable,CompShg,WdShing,Wd Shng,TA,TA,CBlock,GasA,Ex,Y,1001,653,0,1654,2,0,3,1,TA,7,Typ,1,N,244,60,0,0,0,0,0,5,2009,WD ,Normal,137000
732,733,903205040,30,RL,8854,Pave,Reg,Lvl,AllPub,Inside,Gtl,BrkSide,Norm,Norm,1Fam,1.5Unf,6,6,1916,1950,Gable,CompShg,Wd Sdng,Wd Sdng,TA,TA,BrkTil,Grav,Fa,N,952,0,0,952,1,0,2,1,Fa,4,Typ,1,P,0,98,0,0,40,0,0,5,2009,WD ,Normal,121000
733,734,903226130,50,RM,6000,Pave,Reg,Lvl,AllPub,Inside,Gtl,BrkSide,Norm,Norm,1Fam,1.5Fin,4,6,1936,1950,Gable,CompShg,MetalSd,MetalSd,TA,TA,BrkTil,GasA,TA,Y,757,567,0,1324,1,0,3,1,TA,6,Typ,0,Y,0,0,0,0,0,0,0,7,2009,WD ,Normal,128000
734,735,903226170,50,RM,6000,Pave,Reg,Lvl,AllPub,Inside,Gtl,BrkSide,Norm,Norm,1Fam,1.5Fin,6,9,1937,2000,Gable,CompShg,MetalSd,MetalSd,Gd,TA,BrkTil,GasA,TA,Y,786,390,0,1176,1,0,2,1,TA,4,Typ,0,N,210,0,0,0,0,0,0,7,2009,WD ,Normal,134900
735,736,903227070,50,RM,6000,Pave,Reg,Lvl,AllPub,Corner,Gtl,BrkSide,Norm,Norm,1Fam,1.5Fin,5,8,1925,1997,Gable,CompShg,Wd Sdng,Wd Sdng,TA,TA,BrkTil,GasA,Ex,Y,884,464,0,1348,1,0,3,1,TA,5,Typ,1,N,0,0,208,0,0,0,0,5,2009,WD ,Normal,117000
736,737,903227090,50,RM,6000,Pave,Reg,Lvl,AllPub,Inside,Gtl,BrkSide,Norm,Norm,1Fam,1.5Fin,6,6,1939,1950,Gable,CompShg,MetalSd,MetalSd,TA,Fa,CBlock,GasA,Ex,Y,825,587,0,1412,1,0,4,1,TA,6,Typ,1,Y,45,0,0,0,0,0,0,5,2009,WD ,Normal,132500
737,738,903228070,50,RM,6000,Pave,Reg,Lvl,AllPub,Corner,Gtl,BrkSide,Norm,Norm,1Fam,1.5Fin,5,5,1924,1950,Gable,CompShg,Stucco,Stucco,TA,TA,BrkTil,GasA,Gd,Y,822,320,0,1142,1,0,3,1,TA,6,Typ,0,Y,0,0,98,0,0,0,0,6,2009,WD ,Normal,93000
738,739,903228120,45,RM,6000,Pave,Reg,Lvl,AllPub,Inside,Gtl,BrkSide,Norm,Norm,1Fam,1.5Unf,6,7,1926,2004,Gable,CompShg,Wd Sdng,Wd Sdng,Gd,TA,PConc,GasA,Gd,Y,904,0,0,904,1,0,2,1,TA,4,Typ,0,Y,0,0,105,0,0,0,0,1,2009,WD ,Normal,119000
739,740,903230100,30,RM,6911,Pave,Reg,Lvl,AllPub,FR2,Gtl,BrkSide,Feedr,Norm,1Fam,1Story,5,5,1924,1950,Gable,CompShg,Wd Sdng,Wd Sdng,TA,TA,PConc,GasA,TA,Y,1301,0,0,1301,1,0,2,1,Fa,5,Min1,0,Y,0,0,0,0,0,0,0,10,2009,WD ,Normal,100000
740,741,903231010,50,RM,6120,Pave,Reg,Lvl,AllPub,Corner,Gtl,BrkSide,Norm,Norm,1Fam,1.5Fin,5,6,1936,1950,Gable,CompShg,Wd Sdng,Wd Sdng,TA,Fa,BrkTil,GasA,TA,Y,1067,472,0,1539,1,1,3,1,TA,5,Typ,0,Y,112,0,0,0,0,0,0,4,2009,WD ,Normal,141500
741,742,903231030,50,RM,6120,Pave,Reg,Lvl,AllPub,Inside,Gtl,BrkSide,Norm,Norm,1Fam,1.5Fin,4,7,1935,1995,Gable,CompShg,AsbShng,AsbShng,TA,TA,BrkTil,GasA,Ex,Y,989,584,0,1573,1,0,3,1,Gd,6,Typ,0,Y,0,0,54,0,120,0,0,7,2009,WD ,Normal,133000
742,743,903231060,30,RM,6120,Pave,Reg,Lvl,AllPub,Inside,Gtl,BrkSide,Norm,Norm,1Fam,1Story,2,3,1936,1950,Gable,CompShg,AsbShng,AsbShng,Fa,Fa,BrkTil,Grav,Fa,N,800,0,0,800,1,0,1,1,Fa,4,Maj1,1,N,0,0,0,0,0,0,0,1,2009,ConLw,Normal,60000
743,744,903231130,30,RM,6120,Pave,Reg,Lvl,AllPub,Corner,Gtl,BrkSide,Norm,Norm,1Fam,1Story,5,7,1931,1993,Gable,CompShg,Wd Sdng,Wd Sdng,TA,TA,BrkTil,GasA,TA,Y,875,0,0,875,1,0,2,1,TA,5,Typ,0,Y,48,0,0,0,0,0,0,11,2009,WD ,Normal,105000
744,745,903232060,30,RM,6120,Pave,Reg,Lvl,AllPub,Inside,Gtl,BrkSide,Norm,Norm,1Fam,1Story,5,6,1925,1999,Gable,CompShg,MetalSd,MetalSd,TA,TA,BrkTil,GasA,Gd,Y,995,0,0,995,1,0,2,1,TA,5,Typ,0,Y,0,15,51,0,0,0,0,3,2009,WD ,Abnorml,115000
745,746,903234220,50,RM,6120,Pave,Reg,Lvl,AllPub,Inside,Gtl,BrkSide,Norm,Norm,1Fam,1.5Fin,5,6,1938,1950,Gable,CompShg,Wd Sdng,Wd Sdng,TA,TA,BrkTil,GasA,TA,Y,994,588,0,1582,2,0,3,1,TA,6,Typ,1,Y,189,0,34,150,0,0,0,2,2009,WD ,Normal,150000
746,747,903236040,30,RM,8635,Pave,Reg,Lvl,AllPub,Inside,Gtl,BrkSide,Norm,Norm,1Fam,1Story,5,5,1925,1950,Hip,CompShg,Wd Sdng,Wd Sdng,TA,Fa,BrkTil,GasA,TA,Y,1072,0,0,1072,1,0,2,1,TA,5,Typ,0,P,0,0,105,0,0,0,0,8,2009,WD ,Normal,126500
747,748,903400220,75,RL,11888,Pave,IR1,Bnk,AllPub,Inside,Gtl,BrkSide,PosN,Norm,1Fam,2.5Unf,6,6,1916,1994,Gable,CompShg,Wd Sdng,Wd Shng,TA,TA,BrkTil,GasA,Gd,N,1445,689,0,2134,2,0,5,1,Gd,10,Typ,0,Y,0,60,268,0,0,0,0,7,2009,WD ,Normal,214500
748,749,903425245,70,RL,11414,Pave,IR1,Lvl,AllPub,Corner,Gtl,BrkSide,RRAn,Feedr,1Fam,2Story,7,8,1910,1993,Gable,CompShg,HdBoard,HdBoard,TA,Gd,BrkTil,GasA,TA,N,1136,883,0,2019,1,0,3,1,Gd,8,Typ,0,Y,509,135,0,0,0,0,0,10,2009,WD ,Normal,167500
749,750,903427120,70,RM,8094,Pave,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,2Story,6,6,1915,1950,Gable,CompShg,MetalSd,MetalSd,TA,TA,PConc,GasA,Gd,Y,1048,720,0,1768,2,0,3,1,TA,8,Typ,0,Y,0,0,150,0,0,0,0,6,2009,WD ,Normal,155000
750,751,903429080,70,RM,2500,Pave,Reg,Lvl,AllPub,Corner,Gtl,OldTown,Norm,Norm,1Fam,2Story,7,8,1915,2005,Gable,CompShg,Stucco,Stucco,Gd,TA,PConc,GasA,Ex,Y,916,910,0,1826,1,1,4,1,Ex,7,Min2,1,Y,0,0,0,0,0,0,0,6,2009,WD ,Normal,155000
751,752,903429110,70,RM,9928,Pave,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,2Story,7,8,1915,1994,Gable,CompShg,Wd Sdng,Wd Sdng,TA,Gd,BrkTil,GasA,Fa,Y,1272,672,0,1944,2,0,3,1,TA,8,Min2,0,N,24,28,0,0,0,0,400,6,2009,WD ,Normal,179900
752,753,903430060,75,RM,5520,Pave,Reg,Lvl,AllPub,Corner,Gtl,OldTown,Norm,Norm,1Fam,2.5Fin,6,6,1912,1950,Gable,CompShg,Wd Sdng,Wd Sdng,TA,TA,CBlock,GasA,Ex,Y,929,929,371,2229,1,0,5,1,TA,8,Typ,0,Y,0,198,30,0,0,0,0,7,2009,WD ,Abnorml,104000
753,754,903430070,90,RM,3000,Pave,Reg,Bnk,AllPub,Inside,Gtl,OldTown,Norm,Norm,Duplex,2Story,5,1,1922,1950,Hip,CompShg,MetalSd,MetalSd,TA,TA,BrkTil,GasA,TA,N,1088,1040,0,2128,2,0,4,2,TA,11,Sev,0,Y,0,56,0,0,0,0,0,9,2009,WD ,Abnorml,62500
754,755,903451090,70,RM,6876,Pave,Reg,Lvl,AllPub,Inside,Gtl,IDOTRR,Norm,Norm,1Fam,2Story,6,5,1927,1950,Gable,CompShg,Plywood,Plywood,TA,TA,CBlock,GasA,Fa,Y,1146,784,0,1930,2,0,4,1,TA,8,Typ,0,Y,0,0,213,0,0,0,0,8,2009,WD ,Normal,149000
755,756,903458170,30,RM,6240,Pave,Reg,Lvl,AllPub,Inside,Gtl,IDOTRR,Norm,Norm,1Fam,1.5Fin,4,5,1925,1950,Gable,CompShg,MetalSd,MetalSd,TA,TA,CBlock,GasA,TA,Y,848,0,360,1208,1,0,2,1,TA,5,Typ,0,Y,0,23,112,0,0,0,0,1,2009,WD ,Normal,103000
756,757,903475100,70,RM,5775,Pave,IR2,Bnk,AllPub,Corner,Mod,OldTown,Feedr,Norm,1Fam,2Story,6,7,1915,2002,Gable,CompShg,Wd Sdng,Wd Sdng,TA,TA,BrkTil,GasA,Ex,Y,741,686,0,1427,1,0,3,1,Gd,7,Typ,0,Y,0,24,112,0,0,0,0,2,2009,WD ,Normal,123000
757,758,903476090,190,RM,5852,Pave,IR3,Bnk,AllPub,Corner,Gtl,OldTown,Feedr,Norm,2fmCon,2.5Unf,7,5,1902,2000,Gable,CompShg,MetalSd,MetalSd,TA,Fa,BrkTil,GasA,TA,N,978,886,0,1864,2,1,6,1,TA,9,Typ,0,N,0,188,102,0,0,0,0,5,2009,WD ,Normal,97500
758,759,903481120,50,RM,5160,Pave,Reg,Lvl,AllPub,Corner,Gtl,IDOTRR,Norm,Norm,1Fam,1.5Fin,6,6,1927,1950,Gable,CompShg,MetalSd,MetalSd,TA,Fa,BrkTil,GasA,TA,Y,1204,462,0,1666,1,0,3,1,TA,4,Typ,0,Y,0,0,148,0,0,0,0,8,2009,WD ,Normal,135000
759,760,903481130,85,RM,5160,Pave,Reg,Lvl,AllPub,Inside,Gtl,IDOTRR,Norm,Norm,1Fam,SFoyer,4,6,1923,1950,Hip,CompShg,MetalSd,MetalSd,TA,Gd,PConc,GasA,TA,Y,892,0,0,892,1,0,1,1,Gd,5,Min2,0,N,0,0,105,0,160,0,0,7,2009,COD,Abnorml,70000
760,761,903484110,190,RM,10320,Pave,Reg,Bnk,AllPub,Inside,Gtl,IDOTRR,Artery,Norm,2fmCon,2Story,6,7,1915,1965,Gable,CompShg,MetalSd,MetalSd,TA,Gd,CBlock,GasA,Ex,Y,754,649,0,1403,1,1,3,1,TA,7,Typ,0,Y,0,0,288,0,0,0,0,2,2009,WD ,Normal,116000
761,762,904100190,20,RL,4280,Pave,IR1,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,4,9,1946,2001,Gable,CompShg,MetalSd,MetalSd,TA,Gd,CBlock,GasA,Ex,Y,704,0,0,704,1,0,2,1,Fa,4,Typ,0,Y,0,0,24,0,0,0,0,9,2009,WD ,Normal,88750
762,763,904301060,90,RL,10800,Pave,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,Duplex,1Story,5,5,1987,1988,Gable,CompShg,Plywood,Plywood,TA,TA,CBlock,GasA,TA,Y,1200,0,0,1200,3,0,3,1,TA,5,Typ,0,Y,120,0,0,0,0,0,0,3,2009,WD ,Alloca,179000
